市区町村名,増減数,開設局数,前回
滋賀県,1,616,615
大津市,0,110,110
彦根市,0,41,41
長浜市,0,70,70
近江八幡市,0,39,39
草津市,0,41,41
守山市,0,27,27
栗東市,0,19,19
甲賀市,0,40,40
野洲市,0,25,25
湖南市,0,32,32
高島市,1,31,30
東近江市,0,52,52
米原市,0,29,29
蒲生郡日野町,0,18,18
蒲生郡竜王町,0,12,12
愛知郡愛荘町,0,12,12
犬上郡豊郷町,0,5,5
犬上郡甲良町,0,6,6
犬上郡多賀町,0,7,7
京都府,0,931,931
京都市北区,0,44,44
京都市上京区,0,24,24
京都市左京区,0,59,59
京都市中京区,0,41,41
京都市東山区,0,35,35
京都市下京区,0,41,41
京都市南区,0,50,50
京都市右京区,0,60,60
京都市伏見区,0,80,80
京都市山科区,0,37,37
京都市西京区,0,45,45
福知山市,0,47,47
舞鶴市,0,38,38
綾部市,0,19,19
宇治市,0,38,38
宮津市,0,16,16
亀岡市,0,26,26
城陽市,0,20,20
向日市,0,16,16
長岡京市,0,21,21
八幡市,0,20,20
京田辺市,0,15,15
京丹後市,0,29,29
南丹市,0,17,17
木津川市,0,27,27
乙訓郡大山崎町,0,6,6
久世郡久御山町,0,10,10
綴喜郡井手町,0,4,4
綴喜郡宇治田原町,0,9,9
相楽郡笠置町,0,2,2
相楽郡和束町,0,4,4
相楽郡精華町,0,7,7
相楽郡南山城村,0,1,1
船井郡京丹波町,0,9,9
与謝郡伊根町,0,1,1
与謝郡与謝野町,0,13,13
大阪府,2,2789,2787
大阪市都島区,0,31,31
大阪市福島区,0,49,49
大阪市此花区,0,47,47
大阪市西区,0,63,63
大阪市港区,0,30,30
大阪市大正区,0,20,20
大阪市天王寺区,1,45,44
大阪市浪速区,0,40,40
大阪市西淀川区,0,31,31
大阪市東淀川区,0,43,43
大阪市東成区,0,47,47
大阪市生野区,0,27,27
大阪市旭区,0,27,27
大阪市城東区,0,31,31
大阪市阿倍野区,0,37,37
大阪市住吉区,0,31,31
大阪市東住吉区,0,35,35
大阪市西成区,0,34,34
大阪市淀川区,0,57,57
大阪市鶴見区,0,20,20
大阪市住之江区,0,52,52
大阪市平野区,0,37,37
大阪市北区,0,133,133
大阪市中央区,0,195,195
堺市堺区,0,44,44
堺市中区,0,31,31
堺市東区,0,16,16
堺市西区,0,41,41
堺市南区,0,40,40
堺市北区,0,42,42
堺市美原区,0,10,10
岸和田市,0,56,56
豊中市,0,83,83
池田市,0,25,25
吹田市,0,79,79
泉大津市,0,27,27
高槻市,0,86,86
貝塚市,0,30,30
守口市,0,27,27
枚方市,0,68,68
茨木市,0,73,73
八尾市,0,56,56
泉佐野市,0,34,34
富田林市,0,33,33
寝屋川市,0,47,47
河内長野市,0,52,52
松原市,0,24,24
大東市,0,21,21
和泉市,0,64,64
箕面市,0,32,32
柏原市,0,20,20
羽曳野市,0,36,36
門真市,0,44,44
摂津市,0,22,22
高石市,0,17,17
藤井寺市,0,12,12
東大阪市,0,115,115
泉南市,0,28,28
四條畷市,0,14,14
交野市,0,24,24
大阪狭山市,0,18,18
阪南市,1,21,20
三島郡島本町,0,10,10
豊能郡豊能町,0,16,16
豊能郡能勢町,0,16,16
泉北郡忠岡町,0,6,6
泉南郡熊取町,0,14,14
泉南郡田尻町,0,6,6
泉南郡岬町,0,12,12
南河内郡太子町,0,10,10
南河内郡河南町,0,13,13
南河内郡千早赤阪村,0,12,12
兵庫県,1,2200,2199
神戸市東灘区,0,89,89
神戸市灘区,0,52,52
神戸市兵庫区,0,64,64
神戸市長田区,0,37,37
神戸市須磨区,0,56,56
神戸市垂水区,0,50,50
神戸市北区,1,72,71
神戸市中央区,0,114,114
神戸市西区,0,65,65
姫路市,0,166,166
尼崎市,0,124,124
明石市,0,73,73
西宮市,0,202,202
洲本市,0,31,31
芦屋市,0,29,29
伊丹市,0,51,51
相生市,0,20,20
豊岡市,0,38,38
加古川市,0,83,83
赤穂市,0,25,25
西脇市,0,23,23
宝塚市,0,81,81
三木市,0,41,41
高砂市,0,41,41
川西市,0,56,56
小野市,0,28,28
三田市,0,44,44
加西市,0,36,36
丹波篠山市,0,18,18
養父市,0,17,17
丹波市,0,44,44
南あわじ市,0,43,43
朝来市,0,29,29
淡路市,0,36,36
宍粟市,0,15,15
加東市,0,29,29
たつの市,0,38,38
川辺郡猪名川町,0,17,17
多可郡多可町,0,12,12
加古郡稲美町,0,16,16
加古郡播磨町,0,9,9
神崎郡市川町,0,6,6
神崎郡福崎町,0,15,15
神崎郡神河町,0,6,6
揖保郡太子町,0,14,14
赤穂郡上郡町,0,8,8
佐用郡佐用町,0,11,11
美方郡香美町,0,15,15
美方郡新温泉町,0,11,11
奈良県,0,649,649
奈良市,0,102,102
大和高田市,0,27,27
大和郡山市,0,34,34
天理市,0,30,30
橿原市,0,39,39
桜井市,0,28,28
五條市,0,38,38
御所市,0,33,33
生駒市,0,30,30
香芝市,0,24,24
葛城市,0,19,19
宇陀市,0,43,43
山辺郡山添村,0,4,4
生駒郡平群町,0,9,9
生駒郡三郷町,0,8,8
生駒郡斑鳩町,0,10,10
生駒郡安堵町,0,6,6
磯城郡川西町,0,6,6
磯城郡三宅町,0,3,3
磯城郡田原本町,0,19,19
宇陀郡曽爾村,0,1,1
宇陀郡御杖村,0,1,1
高市郡高取町,0,8,8
高市郡明日香村,0,7,7
北葛城郡上牧町,0,10,10
北葛城郡王寺町,0,11,11
北葛城郡広陵町,0,18,18
北葛城郡河合町,0,13,13
吉野郡吉野町,0,3,3
吉野郡大淀町,0,18,18
吉野郡下市町,0,5,5
吉野郡黒滝村,0,1,1
吉野郡天川村,0,2,2
吉野郡野迫川村,0,1,1
吉野郡十津川村,0,26,26
吉野郡下北山村,0,1,1
吉野郡上北山村,0,1,1
吉野郡川上村,0,3,3
吉野郡東吉野村,0,7,7
和歌山県,0,632,632
和歌山市,0,126,126
海南市,0,29,29
橋本市,0,35,35
有田市,0,10,10
御坊市,0,16,16
田辺市,0,52,52
新宮市,0,16,16
紀の川市,0,46,46
岩出市,0,14,14
海草郡紀美野町,0,6,6
伊都郡かつらぎ町,0,15,15
伊都郡九度山町,0,11,11
伊都郡高野町,0,11,11
有田郡湯浅町,0,8,8
有田郡広川町,0,7,7
有田郡有田川町,0,61,61
日高郡美浜町,0,5,5
日高郡日高町,0,9,9
日高郡由良町,0,7,7
日高郡印南町,0,18,18
日高郡みなべ町,0,12,12
日高郡日高川町,0,19,19
西牟婁郡白浜町,0,23,23
西牟婁郡上富田町,0,14,14
西牟婁郡すさみ町,0,3,3
東牟婁郡那智勝浦町,0,18,18
東牟婁郡太地町,0,4,4
東牟婁郡古座川町,0,20,20
東牟婁郡北山村,0,2,2
東牟婁郡串本町,0,15,15
